timestamp,count,event_type
16084522,4221027,cpu_time
16167614,4221028,sync_qpc_time
16167917,4221028,cpu_time
16250946,4221029,sync_qpc_time
16251218,4221029,cpu_time
16334285,4221030,sync_qpc_time
16334559,4221030,cpu_time
16417685,4221031,sync_qpc_time
16417950,4221031,cpu_time
16500993,4221032,sync_qpc_time
16501275,4221032,cpu_time
16584332,4221033,sync_qpc_time
16584593,4221033,cpu_time
16667677,4221034,sync_qpc_time
16667978,4221034,cpu_time
16751066,4221035,sync_qpc_time
16753128,4221035,cpu_time
16834432,4221036,sync_qpc_time
16834710,4221036,cpu_time
16917714,4221037,sync_qpc_time
16918014,4221037,cpu_time
17001091,4221038,sync_qpc_time
17001688,4221038,cpu_time
17084402,4221039,sync_qpc_time
17084694,4221039,cpu_time
17167736,4221040,sync_qpc_time
17167983,4221040,cpu_time
17251121,4221041,sync_qpc_time
17251396,4221041,cpu_time
17334443,4221042,sync_qpc_time
17334703,4221042,cpu_time
17417798,4221043,sync_qpc_time
17418087,4221043,cpu_time
17501151,4221044,sync_qpc_time
17501445,4221044,cpu_time
17584550,4221045,sync_qpc_time
17584870,4221045,cpu_time
17667833,4221046,sync_qpc_time
17668107,4221046,cpu_time
17751208,4221047,sync_qpc_time
17751466,4221047,cpu_time
17834540,4221048,sync_qpc_time
17834880,4221048,cpu_time
17917867,4221049,sync_qpc_time
17918146,4221049,cpu_time
18001192,4221050,sync_qpc_time
18001430,4221050,cpu_time
18084561,4221051,sync_qpc_time
18084830,4221051,cpu_time
18167911,4221052,sync_qpc_time
18168196,4221052,cpu_time
18251267,4221053,sync_qpc_time
18251552,4221053,cpu_time
18334666,4221054,sync_qpc_time
18334874,4221054,cpu_time
18417985,4221055,sync_qpc_time
18420364,4221055,cpu_time
18501280,4221056,sync_qpc_time
18501539,4221056,cpu_time
18584641,4221057,sync_qpc_time
18584940,4221057,cpu_time
18667960,4221058,sync_qpc_time
18668178,4221058,cpu_time
18751340,4221059,sync_qpc_time
18751641,4221059,cpu_time
